Local Government Area,Offence type,Jan - Dec 2015,Jan - Dec 2016,Jan - Dec 2017,Jan - Dec 2018,Jan - Dec 2019,"Rate per 100,000 population Jan - Dec 2019",2 year trend and annual percent change (Jan 2018-Dec 2019),5 year trend and average annual percent change (Jan 2015-Dec 2019)
Bathurst Regional,Transport regulatory offences,7,8,4,10,8,18.5,nc,nc
Bathurst Regional,Other offences,82,77,96,77,59,136.6,Stable,Stable
Bayside,Murder *,3,0,1,2,0,nc,nc,nc
Bayside,Attempted murder,0,0,0,0,0,nc,nc,nc
Bayside,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Bayside,Manslaughter *,0,0,0,0,0,nc,nc,nc
Bayside,Domestic violence related assault,462,521,523,583,642,368.2,Stable,Up 8.6%
Bayside,Non-domestic violence related assault,412,452,454,535,513,294.2,Stable,Up 5.6%
Bayside,Assault Police,21,27,22,39,34,19.5,Stable,Stable
Bayside,Sexual assault,54,53,76,70,62,35.6,Stable,Stable
Bayside,"Indecent assault, act of indecency and other sexual offences",68,88,94,84,110,63.1,Stable,Up 12.8%
Bayside,Abduction and kidnapping,3,5,5,2,2,1.1,nc,nc
Bayside,Robbery without a weapon,27,34,29,34,30,17.2,Stable,Stable
Bayside,Robbery with a firearm,1,1,5,2,5,2.9,nc,nc
Bayside,Robbery with a weapon not a firearm,21,14,19,10,17,9.7,nc,nc
Bayside,Blackmail and extortion,5,5,1,4,4,2.3,nc,nc
Bayside,"Intimidation, stalking and harassment",330,394,466,477,569,326.3,Up 19.3%,Up 14.6%
Bayside,Other offences against the person,19,16,8,11,19,10.9,nc,nc
Bayside,Break and enter dwelling,408,363,316,341,289,165.7,Down 15.2%,Down 8.3%
Bayside,Break and enter non-dwelling,143,107,103,94,122,70,Stable,Stable
Bayside,Receiving or handling stolen goods,168,165,143,161,155,88.9,Stable,Stable
Bayside,Motor vehicle theft,296,220,229,194,255,146.2,Up 31.4%,Stable
Bayside,Steal from motor vehicle,719,536,638,616,612,351,Stable,Stable
Bayside,Steal from retail store,343,341,417,373,378,216.8,Stable,Stable
Bayside,Steal from dwelling,369,319,311,283,320,183.5,Stable,Stable
Bayside,Steal from person,130,110,90,86,84,48.2,Stable,Down 10.3%
Bayside,Stock theft,0,0,0,0,0,nc,nc,nc
Bayside,Fraud,1346,1199,1101,1115,1220,699.6,Up 9.4%,Stable
Bayside,Other theft,565,522,503,515,453,259.8,Stable,Down 5.4%
Bayside,Arson,29,34,38,44,25,14.3,Stable,Stable
Bayside,Malicious damage to property,956,964,985,919,894,512.7,Stable,Stable
Bayside,Possession and/or use of cocaine,33,25,37,34,28,16.1,Stable,Stable
Bayside,Possession and/or use of narcotics,17,15,12,24,18,10.3,nc,nc
Bayside,Possession and/or use of cannabis,362,326,304,302,263,150.8,Stable,Down 7.7%
Bayside,Possession and/or use of amphetamines,105,154,100,118,103,59.1,Stable,Stable
Bayside,Possession and/or use of ecstasy,25,24,14,15,7,4,nc,nc
Bayside,Possession and/or use of other drugs,92,121,88,128,137,78.6,Stable,Up 10.5%
Bayside,"Dealing, trafficking in cocaine",17,10,22,13,20,11.5,nc,nc
Bayside,"Dealing, trafficking in narcotics",8,4,3,2,8,4.6,nc,nc
Bayside,"Dealing, trafficking in cannabis",7,8,13,6,5,2.9,nc,nc
Bayside,"Dealing, trafficking in amphetamines",26,56,61,26,17,9.7,nc,nc
Bayside,"Dealing, trafficking in ecstasy",7,9,9,3,3,1.7,nc,nc
Bayside,"Dealing, trafficking in other drugs",7,3,28,4,14,8,nc,nc
Bayside,Cultivating cannabis,12,7,9,9,8,4.6,nc,nc
Bayside,Manufacture drug,2,3,0,2,2,1.1,nc,nc
Bayside,Importing drugs,7,8,11,13,26,14.9,nc,nc
Bayside,Other drug offences,100,120,108,84,126,72.3,Stable,Stable
Bayside,Prohibited and regulated weapons offences,140,179,178,210,165,94.6,Stable,Stable
Bayside,Trespass,104,114,104,128,137,78.6,Stable,Stable
Bayside,Offensive conduct,35,36,41,36,54,31,Stable,Stable
Bayside,Offensive language,54,30,30,25,40,22.9,Stable,Stable
